traffic_report_id,published_date,issue_reported,latitude,longitude,address,traffic_report_status,agency
786A0A9946E25CD7DDF771B79508FF21CCEFA787_1585588914,2020-03-30T17:21:54.000Z,Crash Urgent,30.198039,-97.764613,5700 S Ih 35 Sb,ARCHIVED,
7C8D848F32FA1C53815556EE08AA8EE5994C5A51_1709699746,2024-03-06T04:35:46.000Z,Crash Urgent,30.363283,-97.697477,801-829 W Rundberg Ln,ARCHIVED,AUSTIN PD           
27B37CBCD1DA7B04F8F78C990FE964C5804E0506_1712527465,2024-04-07T22:04:25.000Z,Traffic Hazard,30.260438,-97.693966,1100-1118 Airport Blvd,ARCHIVED,AUSTIN PD           
7DC79C1E19D6699594E3E0AA4A1B431D3E088BE8_1712265514,2024-04-04T21:18:34.000Z,Crash Urgent,30.381837,-97.686426,11220 N Lamar Blvd,ARCHIVED,AUSTIN PD           
54164C3DB2C5171B138C809D3CBE7A6637C31CBF_1712704159,2024-04-09T23:09:19.000Z,Traffic Hazard,30.336763,-97.727115,1200-1309 Brentwood St,ARCHIVED,AUSTIN PD           
F9C49F029B05D0F5EE2A1BCE8752974EC1535343_1710941264,2024-03-20T13:27:44.000Z,COLLISION,30.332302,-97.504973,PARSONS RD / LITTIG RD,ARCHIVED,TRAVIS COUNTY SHERIF
FA59FADCBF0CEF35D5DFDA0B2B7308474E16F44E_1710942951,2024-03-20T13:55:51.000Z,TRFC HAZD/ DEBRIS,30.29247,-97.798257,1100-1204 Westlake Dr,ARCHIVED,TRAVIS COUNTY SHERIF
B91F4502A07105CEBCE7E632807B55F7657F988D_1712681722,2024-04-09T16:55:22.000Z,Crash Service,30.190674,-97.770881,E WILLIAM CANNON DR / S IH 35 SVRD SB,ARCHIVED,AUSTIN PD           
8E6AB7066425C5135386302C7741B2FD988D1FD0_1712646799,2024-04-09T07:13:19.000Z,Traffic Hazard,30.367427,-97.694541,9516-9717 N Lamar Blvd,ARCHIVED,AUSTIN PD           
0FF8DA9900FB2FBE4702038E01DAE5A8088B80DA_1712681676,2024-04-09T16:54:36.000Z,Traffic Hazard,30.260995,-97.735784,E Cesar Chavez St / N Ih 35 Svrd Nb,ARCHIVED,AUSTIN PD           
3E997B2DBA11DF9B67D2F6D85B1F3C3BA2753F45_1712718146,2024-04-10T03:02:26.000Z,Traffic Hazard,30.438577,-97.69908,13000-14398 N Mopac Expy Sb,ARCHIVED,AUSTIN PD           
F29EC73A96F5925122FBD1B62F40315A3B85C911_1712736669,2024-04-10T08:11:09.000Z,Crash Service,30.238913,-97.859145,Patton Ranch Rd / School Rd,ARCHIVED,AUSTIN PD           
820700A8AD375BA722DA416AAFB5B3C863C858FE_1709707645,2024-03-06T06:47:25.000Z,Traffic Hazard,30.356082,-97.616835,Harris Branch Pkwy / Magnus St,ARCHIVED,AUSTIN PD           
04085CEF4A2F22B0D7DE2D6919476571400985C3_1709730802,2024-03-06T13:13:22.000Z,Crash Urgent,30.197322,-97.626932,3600-3821 E Sh 71 Svrd Wb,ARCHIVED,AUSTIN PD           
FF33A8F10515011CBA0D191AE58F7F9A4DD7A3E1_1709683248,2024-03-06T00:00:48.000Z,Traffic Hazard,30.252737,-97.753579,1100-1214 S 1st St,ARCHIVED,AUSTIN PD           
52E1D656CD2AE6967E9063CF3290C80502171AE5_1709727176,2024-03-06T12:12:56.000Z,Traffic Hazard,30.428884,-97.75946,Research Blvd Svrd Sb / Oak Knoll Dr,ARCHIVED,AUSTIN PD           
FB35F43321FE5442C0B0FA21555042771B5BFBDF_1709698334,2024-03-06T04:12:14.000Z,COLLISION,30.467408,-97.669746,16500 N Ih 35 Nb,ARCHIVED,TRAVIS COUNTY SHERIF
158A66682DA61DF5F2115C2FC8C8328E6C837B05_1709700117,2024-03-06T04:41:57.000Z,Traffic Hazard,30.371742,-97.785692,7187 Lakewood Dr,ARCHIVED,AUSTIN PD           
7CA75397B68A24DA4137B948DD5D41C538343172_1709731683,2024-03-06T13:28:03.000Z,COLLISION,30.567358,-97.581623,Sh 130 Toll / Sh 130 Exit 421 Ramp,ARCHIVED,TRAVIS COUNTY SHERIF
9D758147F7E39A4CB91081AB512FEC6385AA6E80_1709731644,2024-03-06T13:27:24.000Z,COLLISION WITH INJURY,30.251499,-97.59696,12400-13117 Fm 969 Rd,ARCHIVED,TRAVIS COUNTY SHERIF
57BD3A494C8B4B3A2F0A21351E910858B95AE229_1709707676,2024-03-06T06:47:56.000Z,Crash Urgent,30.353348,-97.753196,Far West Blvd / Wood Hollow Dr,ARCHIVED,AUSTIN PD           
BDB4EF8138BD46AA7F134CD4C2A1DD8FC2863F06_1709719972,2024-03-06T10:12:52.000Z,Traffic Hazard,30.496777,-97.780411,14600-14724 Avery Ranch Blvd,ARCHIVED,AUSTIN PD           
A031EB6D2F6330F89B937098D4439578421617DF_1709705830,2024-03-06T06:17:10.000Z,COLLISION,30.427624,-97.87266,13400-BLK BULLICK HOLLOW RD,ARCHIVED,TRAVIS COUNTY SHERIF
6D04A668CCC2166D714A086DF60ACA8082ED8667_1709724259,2024-03-06T11:24:19.000Z,Traffic Hazard,30.286316,-97.677862,4900-5065 E Martin Luther King Jr Blvd,ARCHIVED,AUSTIN PD           
8545019B082C565916F738AAAE5A8ADD78270A3F_1709725665,2024-03-06T11:47:45.000Z,Traffic Hazard,30.430963,-97.763189,12636 Research Blvd Sb,ARCHIVED,AUSTIN PD           
407ACB196B60D52341AE7596E38E99B8A59E6F50_1709728659,2024-03-06T12:37:39.000Z,Crash Urgent,30.42123,-97.747452,11700 RESEARCH BLVD SB,ARCHIVED,AUSTIN PD           
CE885C5D5C3E2E8547208CFEA233DA2532C6D071_1712265872,2024-04-04T21:24:32.000Z,Crash Urgent,30.417652,-97.675945,13212 N Lamar Blvd,ARCHIVED,AUSTIN PD           
1D3309AE08FFC29BCA69577541E57D3D5AB66341_1709731547,2024-03-06T13:25:47.000Z,Crash Urgent,30.339418,-97.591609,0 N 130 Nb To E 290 Wb Ramp,ARCHIVED,AUSTIN PD           
1FDC44F369950B3467C435044A9B89B77D39B7B7_1709728960,2024-03-06T12:42:40.000Z,COLLISION,30.500457,-97.57582,226-251 Peter Martin Rd,ARCHIVED,TRAVIS COUNTY SHERIF
6749B393A4DCF7777745CDD18F3E6FA3B43A2D22_1712265986,2024-04-04T21:26:26.000Z,Crash Urgent,30.271234,-97.76422,0 Stephen F A To Cesar C Eb Ramp,ARCHIVED,AUSTIN PD           
D1979B936C2CD632C16030D3129A53A175EBA857_1712259427,2024-04-04T19:37:07.000Z,Traffic Hazard,30.399657,-97.746088,10210-11156 Research Blvd Sb,ARCHIVED,AUSTIN PD           
DD40A5745BA5FA58747218174EF201473AEC7541_1709730316,2024-03-06T13:05:16.000Z,COLLISION,30.156755,-97.597392,14820 Pearce Ln,ARCHIVED,TRAVIS COUNTY SHERIF
6B50CE41B5C59434A9AC16FC818EA5507009C7E5_1712264509,2024-04-04T21:01:49.000Z,TRFC HAZD/ DEBRIS,30.465986,-97.669311,16400-16445 N Ih 35 Nb,ARCHIVED,TRAVIS COUNTY SHERIF
871C239CCC397E937272817BA4B58F48AF0BC3BC_1712528012,2024-04-07T22:13:32.000Z,COLLISION,30.262042,-97.888913,TRAVIS COOK RD / SOUTHWEST PKWY,ARCHIVED,TRAVIS COUNTY SHERIF
D3A3C101936B93DBF9EB710E611C2CF58C806137_1712527491,2024-04-07T22:04:51.000Z,Crash Urgent,30.190172,-97.770174,S Ih 35 Svrd Nb / E William Cannon Dr,ARCHIVED,AUSTIN PD           
DB5C7A38682220A648B9DA7964B252D846B03084_1714639143,2024-05-02T08:39:03.000Z,Crash Service,30.304847,-97.777113,2522 Matthews Dr,ARCHIVED,AUSTIN PD           
731DF0FC93417F72FCB56F09CD754F9382AE6373_1714707558,2024-05-03T03:39:18.000Z,Traffic Hazard,30.259504,-97.738519,80 RAINEY ST,ARCHIVED,AUSTIN PD           
5D1BDAE6389C2A1988415D2F9B9EC2070341371D_1709730978,2024-03-06T13:16:18.000Z,COLLISION,30.456421,-97.682792,3109 Sauls Dr,ARCHIVED,TRAVIS COUNTY SHERIF
89606B3E6179739F7ED413B20DD9583B33FA9E75_1710466434,2024-03-15T01:33:54.000Z,Traffic Hazard,30.227783,-97.776844,W Ben White Blvd Wb / S 1st To Ben White Wb Ramp,ARCHIVED,AUSTIN PD           
58907516874AA70188525B2518FAF0E285FD821A_1710463120,2024-03-15T00:38:40.000Z,Stalled Vehicle,30.407178,-97.674028,12439-12537 N IH 35 SVRD NB,ARCHIVED,AUSTIN PD           
4375A23DFC4B20CB97C25EBE3B52488C61293AC2_1709729645,2024-03-06T12:54:05.000Z,Traffic Hazard,30.43093,-97.763706,Research Blvd Svrd Sb / Mc Neil To Research Sb Ramp,ARCHIVED,AUSTIN PD           
349C0309807F676DFB15970416DECBA5128E7FED_1709732299,2024-03-06T13:38:19.000Z,COLLISION,30.247454,-97.582999,14300-14303 HUNTERS BEND RD,ARCHIVED,TRAVIS COUNTY SHERIF
0C91145BAB9DFE54DE3A3343AEBD1BB66F50373E_1709683710,2024-03-06T00:08:30.000Z,TRFC HAZD/ DEBRIS,30.399534,-97.523728,11000-11317 Schmidt Ln,ARCHIVED,TRAVIS COUNTY SHERIF
CC9F33DE11D62A820F76B1B9775A9E9DBDBCDF76_1709731965,2024-03-06T13:32:45.000Z,COLLISION,30.493701,-97.675719,1701 S Mays St,ARCHIVED,TRAVIS COUNTY SHERIF
8DF5F9BFC9002F191A4EA6FF14D54B2BFE032BEA_1709683421,2024-03-06T00:03:41.000Z,COLLISION,30.111408,-97.77917,1500-1629 Fm 1327 Rd,ARCHIVED,TRAVIS COUNTY SHERIF
08BABBA456D31986A0E6B7A77F63A6D11CC82FC3_1709683541,2024-03-06T00:05:41.000Z,LOOSE LIVESTOCK,30.079107,-97.640431,11100-11328 Doyle Overton Rd,ARCHIVED,TRAVIS COUNTY SHERIF
BC7D28A99C80767AE5DD0EB7EF058F68D053FB60_1709732332,2024-03-06T13:38:52.000Z,COLLISION,30.247454,-97.582999,Hunters Bend Rd / Fm 969 Rd,ARCHIVED,TRAVIS COUNTY SHERIF
715E82FA3B623C04F4EB343985DBBE7555A0BE99_1709683603,2024-03-06T00:06:43.000Z,Traffic Hazard,30.234013,-97.723099,1970-1974 S Pleasant Valley Rd,ARCHIVED,AUSTIN PD           
869655D8ABDC71EBDF8A999DE0B7E85B1FA69D28_1710463717,2024-03-15T00:48:37.000Z,LOOSE LIVESTOCK,30.245327,-97.521815,18012-18911 Fm 969 Rd,ARCHIVED,TRAVIS COUNTY SHERIF
CF39DA87BBEF9B83A039AE289A2DCB8A93BF1814_1710463835,2024-03-15T00:50:35.000Z,Traffic Hazard,30.271854,-97.732256,1200 N Ih 35 Nb,ARCHIVED,AUSTIN PD           
C2760EE848BBA2EA6D6BB779057FB2545F7A0825_1710464629,2024-03-15T01:03:49.000Z,Traffic Hazard,30.303684,-97.653427,6700-6799 Crystalbrook Dr,ARCHIVED,AUSTIN PD           
E5CB99E93E3A3839E702691C45D6CC28FFCABF9E_1710463442,2024-03-15T00:44:02.000Z,Stalled Vehicle,30.271113,-97.738995,E 10th St / San Jacinto Blvd,ARCHIVED,AUSTIN PD           
4240B033F5F22C9A9CAB56BF555F71904B837B54_1710465388,2024-03-15T01:16:28.000Z,Traffic Hazard,30.265993,-97.783474,912-948 S Mopac Expy Svrd Sb,ARCHIVED,AUSTIN PD           
4458C79EDC062C4D846A5BC0617561909EA8D106_1710468031,2024-03-15T02:00:31.000Z,Crash Urgent,30.253103,-97.748356,1000 S Congress Ave,ARCHIVED,AUSTIN PD           
0A8FD3E9944C54C4399A005554DCC4F33405A363_1710465865,2024-03-15T01:24:25.000Z,Crash Urgent,30.252273,-97.748653,Nellie St / S Congress Ave,ARCHIVED,AUSTIN PD           
B7341ADE93B73941045D59D28699793EECDF673D_1710463748,2024-03-15T00:49:08.000Z,COLLISION,30.453514,-97.665671,15700-15827 N IH 35 SVRD NB,ARCHIVED,TRAVIS COUNTY SHERIF
EE176776F84A8E7EB91C3560943535558748AB9E_1710464585,2024-03-15T01:03:05.000Z,Crash Urgent,30.479981,-97.801869,N Us 183 Hwy Svrd Nb / Lakeline Blvd,ARCHIVED,AUSTIN PD           
B33901810898401751A5BAFB281025DC4CEEB37B_1712266406,2024-04-04T21:33:26.000Z,Traffic Hazard,30.412853,-97.689608,1700-1718 W PARMER LN,ARCHIVED,AUSTIN PD           
1C1CEBFB3283EA55B42B112BA655750B86443FE5_1710475029,2024-03-15T03:57:09.000Z,Stalled Vehicle,30.267762,-97.733994,800 N Ih 35 Sb,ARCHIVED,AUSTIN PD           
93EE12E112BAE593EDCF7AECCA59464C6AFCC832_1710471637,2024-03-15T03:00:37.000Z,Crash Urgent,30.470638,-97.798018,13800-13982 N Us 183 Hwy Sb,ARCHIVED,AUSTIN PD           
4758520F4C2D237EA28E5E67F237DE4D96276C85_1712266473,2024-04-04T21:34:33.000Z,Crash Urgent,30.247856,-97.735195,1100 S Ih 35 Nb,ARCHIVED,AUSTIN PD           
4D37D1E69194BA0504A4AFEDF2DB73267B6584D4_1717136715,2024-05-31T06:25:15.000Z,COLLISION,30.307896,-97.639163,6800-blk STARCREST LN,ARCHIVED,TRAVIS COUNTY SHERIF
D17A331E1AD64E5DEFABEEE67B238D519180AAD7_1714645974,2024-05-02T10:32:54.000Z,COLLISN/ LVNG SCN,30.300173,-97.527988,18316-18535 Blake Manor Rd,ARCHIVED,TRAVIS COUNTY SHERIF
208035F5087DCF7C5CCC85B3B1E8B4ACF007BE1C_1709733296,2024-03-06T13:54:56.000Z,Traffic Hazard,30.487886,-97.771428,Lakeline Blvd / W Parmer Ln,ARCHIVED,AUSTIN PD           
28BA0C2E163D433D4EC5EDC8982EE3A2146A0D24_1709735440,2024-03-06T14:30:40.000Z,Crash Urgent,30.242913,-97.735605,1500 S Ih 35 Nb,ARCHIVED,AUSTIN PD           
EC28361885EDEB63E1EFF30695CE51F8FD212465_1709733867,2024-03-06T14:04:27.000Z,COLLISION,30.233864,-97.907371,8329-8525 W Us 290 Hwy,ARCHIVED,TRAVIS COUNTY SHERIF
7353E3051F54AAD2559A3C0AF3FD6B7476032D34_1712267088,2024-04-04T21:44:48.000Z,COLLISN/ LVNG SCN,30.178301,-97.61519,5200-blk Ross Rd,ARCHIVED,TRAVIS COUNTY SHERIF
ADABAF1DC5B7F34B10D06F9F8D60E7204053A7C1_1712528545,2024-04-07T22:22:25.000Z,COLLISION,30.338982,-97.560282,Burton St / S Bastrop St,ARCHIVED,TRAVIS COUNTY SHERIF
DD84F0EE24CFD17BA4AC744AFAD8DE1687C2A400_1712529913,2024-04-07T22:45:13.000Z,COLLISION,30.180106,-97.645517,10914-10927 PEARCE LN,ARCHIVED,TRAVIS COUNTY SHERIF
F818D3A787EF337609399B092B4C3E0E4BF7D9E6_1709734291,2024-03-06T14:11:31.000Z,Crash Urgent,30.39291,-97.841834,Fm 2222 Rd / Sitio Del Rio Blvd,ARCHIVED,AUSTIN PD           
7D4424E40C2C317E20A604552DE29589E03390B2_1712266941,2024-04-04T21:42:21.000Z,Crash Service,30.226163,-97.770068,601 W Ben White Blvd Svrd Eb,ARCHIVED,AUSTIN PD           
C1CDACA40793908F4DA39B235D3016D1202E1CB3_1712267416,2024-04-04T21:50:16.000Z,Crash Service,30.231097,-97.787561,4205 Menchaca Rd,ARCHIVED,AUSTIN PD           
2F70E239C7A5D80384275BE451075E4CB7125E9E_1712528213,2024-04-07T22:16:53.000Z,Crash Urgent,30.263043,-97.712759,2600 Webberville Rd,ARCHIVED,AUSTIN PD           
0D0B359CF59B0F9E0BA32C31996184FD19B470F3_1709736270,2024-03-06T14:44:30.000Z,Traffic Hazard,30.236038,-97.822285,0 W 290 Wb To Mopac Svrd Ramp,ARCHIVED,AUSTIN PD           
647E959A40EE60F43EE78C3ABBF01102E4600651_1709731830,2024-03-06T13:30:30.000Z,Crash Urgent,30.349698,-97.71032,8071 N LAMAR BLVD SVRD NB,ARCHIVED,AUSTIN PD           
1779E398E459464E06C5BC073DF31D628117B618_1709736294,2024-03-06T14:44:54.000Z,Traffic Hazard,30.235075,-97.823427,5020 W Us 290 Hwy Wb,ARCHIVED,AUSTIN PD           
7028EE0D3C34C181058F6594B2E030DDCAF5AACC_1709733551,2024-03-06T13:59:11.000Z,COLLISION,30.051823,-97.692869,12724 Laws Rd,ARCHIVED,TRAVIS COUNTY SHERIF
40AB990FE3765C7FC587B00F93D9632B78FE7EE9_1709738210,2024-03-06T15:16:50.000Z,TRFC HAZD/ DEBRIS,30.436991,-97.67376,1722-1760 W WELLS BRANCH PKWY,ARCHIVED,TRAVIS COUNTY SHERIF
22578BD38EF7CE8C61CA0F4551751F7E861D015F_1709735736,2024-03-06T14:35:36.000Z,Crash Urgent,30.422677,-97.667487,1006-1007 W Howard Trn,ARCHIVED,AUSTIN PD           
EE8593B3AF2B2A4FB2CA630BCE6BE677E6585F5C_1712267361,2024-04-04T21:49:21.000Z,Traffic Hazard,30.473156,-97.781305,13300-13535 N Sh 45 W Eb,ARCHIVED,AUSTIN PD           
07599DFEB405554B03E43A8096F0B42F7ED392B4_1712267390,2024-04-04T21:49:50.000Z,Crash Urgent,30.347585,-97.612367,11300-11337 St Merryn Rd,ARCHIVED,AUSTIN PD           
4080612570BE15E797C5DAE4449E556F77FAA2FA_1712530448,2024-04-07T22:54:08.000Z,Traffic Hazard,30.408705,-97.714048,11939-12047 N MOPAC EXPY NB,ARCHIVED,AUSTIN PD           
F894D84CB8B7092D9E87AC778717959380745331_1712682037,2024-04-09T17:00:37.000Z,Crash Urgent,30.304863,-97.708181,4901 Lancaster Dr,ARCHIVED,AUSTIN PD           
25C65868B540200530FE4D75EB95A9A92C0C76CE_1712530436,2024-04-07T22:53:56.000Z,Traffic Hazard,30.107598,-97.809402,13400 S Ih 35 Sb,ARCHIVED,AUSTIN PD           
5F5898E4726001663BA5A126B313B03B1AED3F07_1712679200,2024-04-09T16:13:20.000Z,Traffic Hazard,30.224874,-97.703466,E Riverside Dr / Montopolis Dr,ARCHIVED,AUSTIN PD           
CE7DD1F443C6AE6EBF3D40034D6EFF3F01AEF47C_1712705900,2024-04-09T23:38:20.000Z,COLLISION,30.407153,-97.559334,16430 Cameron Rd,ARCHIVED,TRAVIS COUNTY SHERIF
258635DEFA94EC462FBE0C1AF91C7B59BEF1D1E4_1712716721,2024-04-10T02:38:41.000Z,COLLISION,30.297181,-97.857048,1300-blk Barton Creek Blvd,ARCHIVED,TRAVIS COUNTY SHERIF
107C7DA7BEC6CBDED6393E2BA546BA51F0F16445_1710476499,2024-03-15T04:21:39.000Z,Crash Urgent,30.28451,-97.717788,2310 MANOR RD,ARCHIVED,AUSTIN PD           
B957056DD8AD16F1F46CA090727DF5828D933758_1710466767,2024-03-15T01:39:27.000Z,Traffic Hazard,30.247358,-97.7518,Eva St / W Milton St,ARCHIVED,AUSTIN PD           
0708FB5F0CD29753792787E8C0E0479AADE4EC0D_1709734515,2024-03-06T14:15:15.000Z,COLLISION,30.443566,-97.664902,15082 FM 1825 RD,ARCHIVED,TRAVIS COUNTY SHERIF
6F34A3E0E1AF181E8A78E70C146682B7EAD12846_1710463481,2024-03-15T00:44:41.000Z,Traffic Hazard,30.217436,-97.751902,0 S Ih 35 Sb To Ben White Wb Ramp,ARCHIVED,AUSTIN PD           
EC10DB9185C9C58A004FA683DD21AFCD16CAD418_1709738844,2024-03-06T15:27:24.000Z,Traffic Hazard,30.337419,-97.75705,Balcones Dr / Northland Dr,ARCHIVED,AUSTIN PD           
